date,year,month,day,rest stop,revenue
2023-09-10,2023,9,10,中壢,484712
2023-09-11,2023,9,11,中壢,305471
2023-09-12,2023,9,12,中壢,320743
2023-09-13,2023,9,13,中壢,289604
2023-09-14,2023,9,14,中壢,447564
2023-09-15,2023,9,15,中壢,365674
2023-09-16,2023,9,16,中壢,460632
2023-09-17,2023,9,17,中壢,461299
2023-09-18,2023,9,18,中壢,334779
2023-09-19,2023,9,19,中壢,345665
2023-09-20,2023,9,20,中壢,317936
2023-09-21,2023,9,21,中壢,319178
2023-09-22,2023,9,22,中壢,346459
2023-09-23,2023,9,23,中壢,407896
2023-09-24,2023,9,24,中壢,458967
2023-09-25,2023,9,25,中壢,366610
2023-09-26,2023,9,26,中壢,337552
2023-09-27,2023,9,27,中壢,573248
2023-09-28,2023,9,28,中壢,428236
2023-09-29,2023,9,29,中壢,411075
2023-09-30,2023,9,30,中壢,570555
2023-10-01,2023,10,1,中壢,461688
2023-10-02,2023,10,2,中壢,277012
2023-10-03,2023,10,3,中壢,269858
2023-10-04,2023,10,4,中壢,288071
2023-10-05,2023,10,5,中壢,298140
2023-10-06,2023,10,6,中壢,349895
2023-10-07,2023,10,7,中壢,422830
2023-10-08,2023,10,8,中壢,481708
2023-10-09,2023,10,9,中壢,493612
2023-10-10,2023,10,10,中壢,353562
2023-10-11,2023,10,11,中壢,290265
2023-10-12,2023,10,12,中壢,308108
2023-10-13,2023,10,13,中壢,331980
2023-10-14,2023,10,14,中壢,413806
2023-10-15,2023,10,15,中壢,407168
2023-10-16,2023,10,16,中壢,296792
2023-10-17,2023,10,17,中壢,331409
2023-10-18,2023,10,18,中壢,332594
2023-10-19,2023,10,19,中壢,307805
2023-10-20,2023,10,20,中壢,329442
2023-10-21,2023,10,21,中壢,424286
2023-10-22,2023,10,22,中壢,397629
2023-10-23,2023,10,23,中壢,286678
2023-10-24,2023,10,24,中壢,284725
2023-10-25,2023,10,25,中壢,342995
2023-10-26,2023,10,26,中壢,714278
2023-10-27,2023,10,27,中壢,361848
2023-10-28,2023,10,28,中壢,384115
2023-10-29,2023,10,29,中壢,377860
2023-10-30,2023,10,30,中壢,321678
2023-10-31,2023,10,31,中壢,452088
2023-11-01,2023,11,1,中壢,276566
2023-11-02,2023,11,2,中壢,303771
2023-11-03,2023,11,3,中壢,338145
2023-11-04,2023,11,4,中壢,410417
2023-11-05,2023,11,5,中壢,405139
2023-11-06,2023,11,6,中壢,261693
2023-11-07,2023,11,7,中壢,284175
2023-11-08,2023,11,8,中壢,296174
2023-11-09,2023,11,9,中壢,317121
2023-11-10,2023,11,10,中壢,366009
2023-11-11,2023,11,11,中壢,469540
2023-11-12,2023,11,12,中壢,465171
2023-11-13,2023,11,13,中壢,274287
2023-11-14,2023,11,14,中壢,330980
2023-11-15,2023,11,15,中壢,284968
2023-11-16,2023,11,16,中壢,294524
2023-11-17,2023,11,17,中壢,372120
2023-11-18,2023,11,18,中壢,455233
2023-11-19,2023,11,19,中壢,451173
2023-11-20,2023,11,20,中壢,313231
2023-11-21,2023,11,21,中壢,299798
2023-11-22,2023,11,22,中壢,290420
2023-11-23,2023,11,23,中壢,312507
2023-11-24,2023,11,24,中壢,370885
2023-11-25,2023,11,25,中壢,431481
2023-11-26,2023,11,26,中壢,470259
2023-11-27,2023,11,27,中壢,297622
2023-11-28,2023,11,28,中壢,332060
2023-11-29,2023,11,29,中壢,462376
2023-11-30,2023,11,30,中壢,438342
2023-12-01,2023,12,1,中壢,379582
2023-12-02,2023,12,2,中壢,419866
2023-12-03,2023,12,3,中壢,459451
2023-12-04,2023,12,4,中壢,293869
2023-12-05,2023,12,5,中壢,293243
2023-12-06,2023,12,6,中壢,285974
2023-12-07,2023,12,7,中壢,318683
2023-12-08,2023,12,8,中壢,400280
2023-12-09,2023,12,9,中壢,450521
2023-12-10,2023,12,10,中壢,486742
2023-12-11,2023,12,11,中壢,278289
2023-12-12,2023,12,12,中壢,271527
2023-12-13,2023,12,13,中壢,302754
2023-12-14,2023,12,14,中壢,333391
2023-12-15,2023,12,15,中壢,418260
2023-12-16,2023,12,16,中壢,446689
2023-12-17,2023,12,17,中壢,443479
2023-12-18,2023,12,18,中壢,294270
2023-12-19,2023,12,19,中壢,303765
2023-12-20,2023,12,20,中壢,318800
2023-12-21,2023,12,21,中壢,330776
